Year,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
2022,Rhamondre Stevenson,NWE,24,RB,17,7,88,69,0.784,421,6.1,1,13,39.8,40,4.8,4.1,24.8,4
2022,Marquise Brown,ARI,25,WR,12,10,107,67,0.626,709,10.6,3,33,44.9,47,6.6,5.6,59.1,1
2022,Jerry Jeudy,DEN,23,WR,15,14,100,67,0.67,972,14.5,6,41,52,67,9.7,4.5,64.8,0
2022,Jakobi Meyers,NWE,26,WR,14,13,96,67,0.698,804,12,6,38,56.3,48,8.4,4.8,57.4,2
2022,Keenan Allen,LAC,30,WR,10,10,89,66,0.742,752,11.4,4,39,56.2,46,8.4,6.6,75.2,1
2022,DeAndre Hopkins,ARI,30,WR,9,9,96,64,0.667,717,11.2,3,35,54.2,33,7.5,7.1,79.7,2
2022,Curtis Samuel,WAS,26,WR,17,12,92,64,0.696,656,10.3,4,36,46.7,49,7.1,3.8,38.6,1
2022,Courtland Sutton,DEN,27,WR,15,15,109,64,0.587,829,13,2,38,46.8,51,7.6,4.3,55.3,0
2022,Parris Campbell,IND,25,WR,17,16,91,63,0.692,623,9.9,3,32,54.9,49,6.8,3.7,36.6,1
2022,Pat Freiermuth,PIT,24,TE,16,8,98,63,0.643,732,11.6,2,37,53.1,57,7.5,3.9,45.8,0
2022,D.J. Moore,CAR,25,WR,17,17,118,63,0.534,888,14.1,7,44,43.2,62,7.5,3.7,52.2,0
2022,Mike Williams,LAC,28,WR,13,13,93,63,0.677,895,14.2,4,39,59.1,55,9.6,4.8,68.8,0
2022,Donovan Peoples-Jones,CLE,23,WR,17,14,96,61,0.635,839,13.8,3,33,50,42,8.7,3.6,49.4,1
2022,George Kittle,SFO,29,TE,15,15,86,60,0.698,765,12.8,11,36,58.1,54,8.9,4,51,1
2022,Allen Lazard,GNB,27,WR,15,15,100,60,0.6,788,13.1,6,45,55,47,7.9,4,52.5,0
2022,Joe Mixon,CIN,26,RB,14,14,75,60,0.8,441,7.4,2,17,50.7,35,5.9,4.3,31.5,0
2022,K.J. Osborn,MIN,25,WR,17,9,90,60,0.667,650,10.8,5,32,58.9,66,7.2,3.5,38.2,1
2022,Aaron Jones,GNB,28,RB,17,17,72,59,0.819,395,6.7,5,19,44.4,30,5.5,3.5,23.2,5
