Year,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
2022,David Johnson,NOR,31,RB,5,0,4,4,1,47,11.8,0,3,100,21,11.8,0.8,9.4,1
2022,Marcus Jones,NWE,24,DB,15,4,4,4,1,78,19.5,1,3,75,48,19.5,0.3,5.2,1
2022,Charlie Kolar,BAL,23,TE,2,0,6,4,0.667,49,12.3,0,3,66.7,15,8.2,2,24.5,0
2022,Tyler Kroft,SFO,30,TE,11,4,5,4,0.8,57,14.3,0,2,80,28,11.4,0.4,5.2,0
2022,Jake Kumerow,BUF,30,WR,6,1,7,4,0.571,64,16,0,4,57.1,39,9.1,0.7,10.7,0
2022,Rashaad Penny,SEA,26,RB,5,5,5,4,0.8,16,4,0,2,60,6,3.2,0.8,3.2,1
2022,Anthony Schwartz,CLE,22,WR,11,1,10,4,0.4,51,12.8,0,2,30,19,5.1,0.4,4.6,1
2022,Stone Smartt,LAC,24,TE,7,1,5,4,0.8,17,4.3,0,1,20,8,3.4,0.6,2.4,0
2022,Freddie Swain,2TM,24,WR,4,1,6,4,0.667,74,18.5,0,3,50,52,12.3,1,18.5,1
2022,Tylan Wallace,BAL,23,WR,9,0,7,4,0.571,33,8.3,0,1,42.9,12,4.7,0.4,3.7,0
2022,Montrell Washington,DEN,23,WR,15,1,9,4,0.444,2,0.5,0,0,0,4,0.2,0.3,0.1,5
2022,Darrel Williams,ARI,27,RB,6,0,8,4,0.5,9,2.3,0,0,12.5,6,1.1,0.7,1.5,0
2022,Stephen Anderson,ARI,29,TE,16,0,7,3,0.429,9,3,0,0,14.3,6,1.3,0.2,0.6,0
2022,Julius Chestnut,TEN,22,RB,6,0,3,3,1,41,13.7,0,1,66.7,33,13.7,0.5,6.8,0
2022,Tevin Coleman,SFO,29,RB,5,0,3,3,1,44,14.7,1,2,66.7,30,14.7,0.6,8.8,0
2022,Ross Dwelley,SFO,27,TE,12,0,5,3,0.6,105,35,1,3,60,56,21,0.3,8.8,0
2022,Bryan Edwards,ATL,24,WR,7,1,5,3,0.6,15,5,0,0,20,10,3,0.4,2.1,0
2022,Ben Ellefson,MIN,26,TE,4,1,3,3,1,26,8.7,0,2,66.7,12,8.7,0.8,6.5,0
2022,Chris Evans,CIN,25,RB,12,0,4,3,0.75,38,12.7,1,2,50,26,9.5,0.3,3.2,0
2022,Simi Fehoko,DAL,25,WR,5,0,4,3,0.75,24,8,0,1,50,12,6,0.6,4.8,0
2022,Penny Hart,SEA,26,WR,9,0,4,3,0.75,20,6.7,0,1,25,15,5,0.3,2.2,0
2022,Cody Hollister,TEN,29,WR,11,3,5,3,0.6,54,18,0,2,40,27,10.8,0.3,4.9,0
2022,Jesper Horsted,LVR,25,WR,15,0,4,3,0.75,19,6.3,0,0,25,9,4.8,0.2,1.3,0
2022,D'Ernest Johnson,CLE,26,RB,15,0,3,3,1,7,2.3,0,0,33.3,7,2.3,0.2,0.5,0
2022,Tim Jones,JAX,24,WR,17,1,4,3,0.75,30,10,0,1,75,20,7.5,0.2,1.8,0
2022,Elijah Mitchell,SFO,24,RB,5,1,4,3,0.75,7,2.3,0,0,50,5,1.8,0.6,1.4,0
2022,Ty Montgomery,NWE,29,WR,1,0,4,3,0.75,15,5,1,1,25,7,3.8,3,15,0
2022,Adam Prentice,NOR,25,FB,11,2,3,3,1,9,3,0,1,33.3,4,3,0.3,0.8,1
2022,Kyle Rudolph,TAM,33,TE,9,0,5,3,0.6,28,9.3,1,2,60,12,5.6,0.3,3.1,0
2022,Isaiah Spiller,LAC,21,RB,6,0,3,3,1,13,4.3,0,0,33.3,8,4.3,0.5,2.2,0
2022,Mike Strachan,IND,25,WR,13,0,9,3,0.333,59,19.7,0,3,33.3,23,6.6,0.2,4.5,0
2022,Ke'Shawn Vaughn,TAM,25,RB,15,0,4,3,0.75,19,6.3,0,1,25,11,4.8,0.2,1.3,0
2022,Maxx Williams,ARI,28,TE,11,1,3,3,1,18,6,0,0,100,7,6,0.3,1.6,0
2022,Devin Asiasi,CIN,25,TE,12,0,4,2,0.5,5,2.5,0,0,25,6,1.3,0.2,0.4,0
2022,Daylen Baldwin,CLE,23,WR,1,0,2,2,1,25,12.5,0,2,100,15,12.5,2,25,0
2022,Blake Bell,KAN,31,TE,3,1,2,2,1,20,10,1,1,50,17,10,0.7,6.7,0
2022,Giovani Bernard,TAM,31,RB,8,0,2,2,1,-1,-0.5,0,0,0,6,-0.5,0.3,-0.1,1
2022,Kendall Blanton,LAR,27,TE,4,0,2,2,1,35,17.5,0,1,100,28,17.5,0.5,8.8,0
2022,Miles Boykin,PIT,26,WR,16,1,3,2,0.667,11,5.5,0,1,33.3,11,3.7,0.1,0.7,0
2022,Spencer Brown,CAR,24,RB,2,0,4,2,0.5,10,5,0,0,25,9,2.5,1,5,0
2022,Michael Burton,KAN,30,RB,17,0,3,2,0.667,11,5.5,0,0,33.3,9,3.7,0.1,0.6,0
2022,Quintez Cephus,DET,24,WR,4,1,3,2,0.667,15,7.5,0,1,66.7,9,5,0.5,3.8,0
2022,Tyrie Cleveland,DEN,25,WR,6,0,7,2,0.286,28,14,0,1,28.6,16,4,0.3,4.7,0
2022,Pharoh Cooper,ARI,27,WR,5,1,2,2,1,6,3,0,0,0,3,3,0.4,1.2,0
2022,Jaelon Darden,2TM,23,WR,14,0,2,2,1,26,13,0,1,50,25,13,0.1,1.9,0
2022,Mike Davis,BAL,29,RB,8,0,2,2,1,4,2,0,0,0,7,2,0.3,0.5,1
2022,Trestan Ebner,CHI,23,RB,17,0,8,2,0.25,8,4,0,0,25,6,1,0.1,0.5,2
2022,Demetric Felton,CLE,24,WR,8,2,4,2,0.5,8,4,0,0,25,5,2,0.3,1,1
2022,Jalen Guyton,LAC,25,WR,3,0,4,2,0.5,64,32,0,2,50,54,16,0.7,21.3,0
2022,Deonte Harty,NOR,25,WR,4,0,2,2,1,13,6.5,0,0,50,9,6.5,0.5,3.3,1
2022,Justin Herbert,LAC,24,QB,17,17,2,2,1,-10,-5,0,0,0,-2,-5,0.1,-0.6,8
2022,Dennis Houston,DAL,23,WR,2,0,6,2,0.333,16,8,0,0,16.7,11,2.7,1,8,0
2022,Lil'Jordan Humphrey,NWE,24,WR,6,2,4,2,0.5,20,10,0,0,50,11,5,0.3,3.3,0
2022,Caleb Huntley,ATL,24,RB,12,0,2,2,1,3,1.5,0,0,0,2,1.5,0.2,0.3,1
2022,Andy Isabella,2TM,26,WR,5,0,5,2,0.4,21,10.5,0,2,40,11,4.2,0.4,4.2,0
2022,Cade Johnson,SEA,24,WR,3,0,4,2,0.5,21,10.5,0,2,50,11,5.3,0.7,7,0
2022,Keith Kirkwood,NOR,28,WR,5,1,4,2,0.5,18,9,0,1,25,14,4.5,0.4,3.6,0
2022,Anthony McFarland Jr.,PIT,23,RB,1,0,2,2,1,11,5.5,0,1,50,12,5.5,2,11,0
2022,Sean McKeon,DAL,25,TE,13,0,3,2,0.667,11,5.5,0,1,33.3,10,3.7,0.2,0.8,0
2022,Racey McMath,TEN,23,WR,5,0,8,2,0.25,40,20,0,1,12.5,39,5,0.4,8,0
2022,Kene Nwangwu,MIN,24,RB,17,0,2,2,1,21,10.5,0,1,100,16,10.5,0.1,1.2,0
2022,Dezmon Patmon,IND,24,WR,1,0,6,2,0.333,24,12,0,1,33.3,17,4,2,24,0
2022,Larry Rountree,LAC,23,RB,4,0,2,2,1,14,7,0,1,50,13,7,0.5,3.5,0
2022,Drew Sample,CIN,26,TE,2,2,2,2,1,-2,-1,0,0,0,2,-1,1,-1,0
2022,Braylon Sanders,MIA,23,WR,3,0,3,2,0.667,17,8.5,0,0,33.3,13,5.7,0.7,5.7,1
2022,Mason Schreck,HOU,29,TE,3,1,2,2,1,6,3,0,0,50,6,3,0.7,2,0
2022,Benny Snell Jr.,PIT,24,RB,17,0,2,2,1,17,8.5,0,1,50,11,8.5,0.1,1,0
2022,Stephen Sullivan,CAR,26,TE,14,0,6,2,0.333,46,23,0,2,33.3,33,7.7,0.1,3.3,0
2022,Mike Thomas,CIN,28,WR,10,2,10,2,0.2,38,19,0,1,10,33,3.8,0.2,3.8,0
2022,Jalen Tolbert,DAL,23,WR,8,1,3,2,0.667,12,6,0,0,33.3,8,4,0.3,1.5,0
2022,Austin Trammell,LAR,24,WR,6,0,4,2,0.5,13,6.5,0,1,50,8,3.3,0.3,2.2,0
2022,Cole Turner,WAS,22,TE,10,2,9,2,0.222,23,11.5,0,1,11.1,18,2.6,0.2,2.3,0
2022,Jalen Virgil,DEN,24,WR,9,1,5,2,0.4,75,37.5,1,2,40,66,15,0.2,8.3,1
2022,Jonathan Ward,2TM,25,RB,8,0,3,2,0.667,7,3.5,0,1,66.7,4,2.3,0.3,0.9,0
2022,Nsimba Webster,CHI,26,WR,2,0,3,2,0.667,14,7,0,1,66.7,8,4.7,1,7,1
2022,Trevon Wesco,CHI,27,TE,14,1,4,2,0.5,26,13,0,1,25,23,6.5,0.1,1.9,0
2022,Kevin White,NOR,30,WR,7,2,5,2,0.4,74,37,0,2,40,64,14.8,0.3,10.6,0
2022,Trayveon Williams,CIN,25,RB,8,0,3,2,0.667,30,15,0,1,33.3,24,10,0.3,3.8,0
2022,Dareke Young,SEA,23,WR,13,0,2,2,1,24,12,0,2,100,12,12,0.2,1.8,0
2022,Salvon Ahmed,MIA,24,RB,12,0,1,1,1,8,8,0,0,100,8,8,0.1,0.7,0
2022,Maurice Alexander,DET,25,WR,4,0,1,1,1,7,7,0,0,0,7,7,0.3,1.8,0
2022,Tyler Badie,DEN,22,RB,1,0,1,1,1,24,24,1,1,100,24,24,1,24,0
2022,C.J. Board,TEN,29,WR,4,0,1,1,1,6,6,0,0,100,6,6,0.3,1.5,1
2022,John Brown,BUF,32,WR,3,0,2,1,0.5,42,42,1,1,50,42,21,0.3,14,0
2022,Jason Cabinda,DET,26,LB,8,2,4,1,0.25,5,5,0,1,25,5,1.3,0.1,0.6,0
2022,Jalen Camp,HOU,24,WR,2,0,1,1,1,7,7,0,1,100,7,7,0.5,3.5,0
2022,Keke Coutee,IND,25,WR,8,0,1,1,1,20,20,0,0,100,20,20,0.1,2.5,4
2022,Frank Darby,ATL,25,WR,5,0,1,1,1,15,15,0,1,100,15,15,0.2,3,0
2022,Jeff Driskel,HOU,29,QB,7,2,1,1,1,4,4,0,0,100,4,4,0.1,0.6,0
2022,Darrynton Evans,CHI,24,RB,6,0,1,1,1,33,33,0,1,100,33,33,0.2,5.5,0
2022,Erik Ezukanma,MIA,22,WR,1,0,1,1,1,3,3,0,0,0,3,3,1,3,0
2022,Jake Gervase,LAR,27,LB,14,0,1,1,1,12,12,0,1,100,12,12,0.1,0.9,0
2022,Jared Goff,DET,28,QB,17,17,1,1,1,5,5,0,0,100,5,5,0.1,0.3,7
2022,Danny Gray,SFO,23,WR,13,0,7,1,0.143,10,10,0,1,14.3,10,1.4,0.1,0.8,0
2022,Kamu Grugier-Hill,2TM,28,LB-LLB,15,6,1,1,1,4,4,0,1,100,4,4,0.1,0.3,0
2022,Jacob Harris,LAR,25,WR,7,0,1,1,1,6,6,0,1,100,6,6,0.1,0.9,0
2022,Godwin Igwebuike,SEA,28,RB,5,0,1,1,1,3,3,0,0,0,3,3,0.2,0.6,0
2022,Tyron Johnson,2TM,26,WR,4,1,1,1,1,8,8,0,0,100,8,8,0.3,2,0
2022,Ronald Jones II,KAN,25,RB,6,0,1,1,1,22,22,0,1,100,22,22,0.2,3.7,0
2022,Mason Kinsey,TEN,24,WR,2,0,1,1,1,3,3,0,0,0,3,3,0.5,1.5,1
2022,Tyler Mabry,SEA,26,TE,2,0,1,1,1,7,7,1,1,100,7,7,0.5,3.5,0
2022,Patrick Mahomes,KAN,27,QB,17,17,1,1,1,6,6,0,0,100,6,6,0.1,0.4,5
2022,Jason Moore,LAC,27,WR,6,0,2,1,0.5,5,5,0,0,0,5,2.5,0.2,0.8,0
2022,Devine Ozigbo,DEN,26,RB,4,0,1,1,1,3,3,0,0,0,3,3,0.3,0.8,0
2022,Richard Rodgers,LAC,30,TE,10,1,4,1,0.25,4,4,0,0,0,4,1,0.1,0.4,0
2022,Jeremy Ruckert,NYJ,22,TE,9,0,2,1,0.5,8,8,0,0,50,8,4,0.1,0.9,0
2022,Penei Sewell,DET,22,RT,17,17,1,1,1,9,9,0,1,100,9,9,0.1,0.5,0
2022,Keith Smith,ATL,30,WR,17,6,2,1,0.5,8,8,0,0,50,8,4,0.1,0.5,0
2022,Ihmir Smith-Marsette,2TM,23,WR,8,0,4,1,0.25,15,15,0,0,25,15,3.8,0.1,1.9,1
2022,Tommy Sweeney,BUF,27,TE,5,0,1,1,1,7,7,0,1,100,7,7,0.2,1.4,0
2022,J.J. Taylor,NWE,24,RB,1,0,1,1,1,8,8,0,0,100,8,8,1,8,0
2022,Patrick Taylor,GNB,24,RB,14,0,1,1,1,17,17,0,1,100,17,17,0.1,1.2,0
2022,KaVontae Turpin,DAL,26,WR,17,0,2,1,0.5,9,9,0,0,50,9,4.5,0.1,0.5,3
2022,Dwayne Washington,NOR,28,RB,12,0,1,1,1,7,7,0,0,100,7,7,0.1,0.6,0
2022,Cody White,PIT,24,WR,1,1,1,1,1,2,2,0,0,0,2,2,1,2,0
2022,Jameson Williams,DET,21,WR,6,0,9,1,0.111,41,41,1,1,11.1,41,4.6,0.2,6.8,0
2022,Ty'Son Williams,ARI,26,RB,1,0,1,1,1,5,5,0,0,0,5,5,1,5,0
2022,Russell Wilson,DEN,34,QB,15,15,1,1,1,1,1,0,0,0,1,1,0.1,0.1,6
2022,Zach Wilson,NYJ,23,QB,9,9,1,1,1,2,2,1,1,100,2,2,0.1,0.2,1
2022,Juwann Winfree,GNB,26,WR,3,0,4,1,0.25,17,17,0,1,25,17,4.3,0.3,5.7,0
2022,Bailey Zappe,NWE,23,QB,4,2,1,1,1,-6,-6,0,0,0,-6,-6,0.3,-1.5,4
2022,Josh Ali,ATL,23,WR,2,0,1,0,0,0,,0,0,0,0,0,0,0,0
2022,David Bakhtiari,GNB,31,LT,11,11,1,0,0,0,,0,0,0,0,0,0,0,0
2022,Khari Blasingame,CHI,26,FB,16,6,1,0,0,0,,0,0,0,0,0,0,0,0
2022,Tom Brady,TAM,45,QB,17,17,1,0,0,0,,0,0,0,0,0,0,0,5
2022,Jack Conklin,CLE,28,RT,14,14,1,0,0,0,,0,0,0,0,0,0,0,0
2022,Tanner Conner,MIA,24,TE,13,0,3,0,0,0,,0,0,0,0,0,0,0,0
2022,Tyrion Davis-Price,SFO,22,RB,6,0,2,0,0,0,,0,0,0,0,0,0,0,0
2022,Gus Edwards,BAL,27,RB,9,4,2,0,0,0,,0,0,0,0,0,0,0,1
2022,Miller Forristall,CLE,24,TE,4,0,1,0,0,0,,0,0,0,0,0,0,0,0
2022,Feleipe Franks,ATL,25,QB,11,1,2,0,0,0,,0,0,0,0,0,0,0,0
2022,Tanner Gentry,BUF,28,WR,3,0,1,0,0,0,,0,0,0,0,0,0,0,0
2022,Josh Gordon,TEN,31,WR,2,0,1,0,0,0,,0,0,0,0,0,0,0,0
2021,Cooper Kupp,LAR,28,WR,17,17,191,145,0.759,1947,13.4,16,89,63.4,59,10.2,8.5,114.5,0
2021,Davante Adams,GNB,29,WR,16,16,169,123,0.728,1553,12.6,11,84,59.8,59,9.2,7.7,97.1,0
2021,Tyreek Hill,KAN,27,WR,17,16,159,111,0.698,1239,11.2,9,75,61.6,75,7.8,6.5,72.9,2
2021,Justin Jefferson,MIN,22,WR,17,17,167,108,0.647,1616,15,10,75,55.7,56,9.7,6.4,95.1,1
2021,Mark Andrews,BAL,26,TE,17,9,153,107,0.699,1361,12.7,9,75,62.1,43,8.9,6.3,80.1,1
2021,Diontae Johnson,PIT,25,WR,16,14,169,107,0.633,1161,10.9,8,59,47.3,50,6.9,6.7,72.6,2
2021,Keenan Allen,LAC,29,WR,16,16,157,106,0.675,1138,10.7,6,66,54.1,42,7.2,6.6,71.1,1
2021,Jaylen Waddle,MIA,23,WR,16,16,140,104,0.743,1015,9.8,6,59,59.3,57,7.3,6.5,63.4,2
2021,Stefon Diggs,BUF,28,WR,17,17,164,103,0.628,1225,11.9,10,66,54.9,61,7.5,6.1,72.1,1
2021,Hunter Renfrow,LVR,26,WR,17,9,128,103,0.805,1038,10.1,9,51,60.2,54,8.1,6.1,61.1,5
2021,Chris Godwin,TAM,25,WR,14,14,127,98,0.772,1103,11.3,5,55,63.8,44,8.7,7,78.8,2
2021,D.J. Moore,CAR,24,WR,17,17,163,93,0.571,1157,12.4,4,60,47.9,64,7.1,5.5,68.1,1
2021,Travis Kelce,KAN,32,TE,16,16,134,92,0.687,1125,12.2,9,63,60.4,69,8.4,5.8,70.3,1
2021,Marquise Brown,BAL,24,WR,16,16,146,91,0.623,1008,11.1,6,41,45.2,49,6.9,5.7,63,3
2021,Brandin Cooks,HOU,28,WR,16,16,134,90,0.672,1037,11.5,6,45,53.7,52,7.7,5.6,64.8,0
2021,Amon-Ra St. Brown,DET,22,WR,17,9,119,90,0.756,912,10.1,5,48,59.7,37,7.7,5.3,53.6,0
2021,Michael Pittman Jr.,IND,24,WR,17,17,129,88,0.682,1082,12.3,6,54,58.9,57,8.4,5.2,63.6,1
2021,Jakobi Meyers,NWE,25,WR,17,16,126,83,0.659,866,10.4,2,42,52.4,39,6.9,4.9,50.9,1
2021,Cole Beasley,BUF,32,WR,16,8,112,82,0.732,693,8.5,1,34,57.1,29,6.2,5.1,43.3,1
2021,Ja'Marr Chase,CIN,21,WR,17,17,128,81,0.633,1455,18,13,56,52.3,82,11.4,4.8,85.6,2
2021,Darnell Mooney,CHI,24,WR,17,14,140,81,0.579,1055,13,4,49,45.7,64,7.5,4.8,62.1,0
2021,CeeDee Lamb,DAL,22,WR,16,13,120,79,0.658,1102,13.9,6,54,53.3,49,9.2,4.9,68.9,0
2021,Dalton Schultz,DAL,25,TE,17,15,104,78,0.75,808,10.4,8,43,62.5,32,7.8,4.6,47.5,0
2021,Christian Kirk,ARI,25,WR,17,11,103,77,0.748,982,12.8,5,44,60.2,50,9.5,4.5,57.8,0
2021,Terry McLaurin,WAS,26,WR,17,17,130,77,0.592,1053,13.7,5,47,50.8,46,8.1,4.5,61.9,0
2021,Deebo Samuel,SFO,25,WR,16,15,121,77,0.636,1405,18.2,6,51,50.4,83,11.6,4.8,87.8,4
2021,Mike Williams,LAC,27,WR,16,14,129,76,0.589,1146,15.1,9,51,51.9,72,8.9,4.8,71.6,0
2021,D.K. Metcalf,SEA,24,WR,17,17,129,75,0.581,967,12.9,12,48,48.1,84,7.5,4.4,56.9,1
2021,Zach Ertz,2TM,31,TE,17,14,112,74,0.661,763,10.3,5,40,50,47,6.8,4.4,44.9,0
2021,Mike Evans,TAM,28,WR,16,16,114,74,0.649,1035,14,14,56,59.6,46,9.1,4.6,64.7,0
2021,Najee Harris,PIT,23,RB,17,17,94,74,0.787,467,6.3,3,22,48.9,25,5,4.4,27.5,0
2021,Tee Higgins,CIN,22,WR,14,14,110,74,0.673,1091,14.7,6,53,63.6,54,9.9,5.3,77.9,1
2021,Mike Gesicki,MIA,26,TE,17,9,112,73,0.652,780,10.7,2,39,53.6,40,7,4.3,45.9,0
2021,Marvin Jones,JAX,31,WR,17,16,120,73,0.608,832,11.4,4,42,53.3,33,6.9,4.3,48.9,0
2021,Tyler Lockett,SEA,29,WR,16,16,107,73,0.682,1175,16.1,8,41,53.3,69,11,4.6,73.4,0
2021,George Kittle,SFO,28,TE,14,14,94,71,0.755,910,12.8,6,42,60.6,48,9.7,5.1,65,2
2021,Austin Ekeler,LAC,26,RB,16,16,94,70,0.745,647,9.2,8,31,53.2,40,6.9,4.4,40.4,4
2021,Leonard Fournette,TAM,26,RB,14,13,84,69,0.821,454,6.6,2,30,57.1,23,5.4,4.9,32.4,1
2021,Amari Cooper,DAL,27,WR,15,14,104,68,0.654,865,12.7,8,45,53.8,41,8.3,4.5,57.7,1
2021,Noah Fant,DEN,24,TE,16,16,90,68,0.756,670,9.9,4,29,47.8,35,7.4,4.3,41.9,0
2021,Kyle Pitts,ATL,21,TE,17,15,110,68,0.618,1026,15.1,1,43,50.9,61,9.3,4,60.4,0
2021,Tyler Boyd,CIN,27,WR,16,10,94,67,0.713,828,12.4,5,37,53.2,68,8.8,4.2,51.8,1
2021,Adam Thielen,MIN,31,WR,13,13,95,67,0.705,726,10.8,10,37,50.5,35,7.6,5.2,55.8,1
2021,Russell Gage,ATL,25,WR,14,9,94,66,0.702,770,11.7,4,37,55.3,49,8.2,4.7,55,2
2021,DeVonta Smith,PHI,23,WR,17,16,104,64,0.615,916,14.3,5,43,54.8,46,8.8,3.8,53.9,1
2021,A.J. Brown,TEN,24,WR,13,13,105,63,0.6,869,13.8,5,45,50.5,57,8.3,4.8,66.8,0
2021,Laviska Shenault Jr.,JAX,23,WR,16,10,100,63,0.63,619,9.8,0,30,47,58,6.2,3.9,38.7,1
2021,D'Andre Swift,DET,22,RB,13,4,78,62,0.795,452,7.3,2,18,48.7,63,5.8,4.8,34.8,2
2021,Tyler Conklin,MIN,26,TE,17,15,87,61,0.701,593,9.7,3,26,47.1,40,6.8,3.6,34.9,1
2021,Tyler Higbee,LAR,28,TE,15,15,85,61,0.718,560,9.2,5,33,60,37,6.6,4.1,37.3,1
2021,T.J. Hockenson,DET,24,TE,12,12,84,61,0.726,583,9.6,4,32,56,33,6.9,5.1,48.6,0
2021,Pat Freiermuth,PIT,23,TE,16,9,79,60,0.759,497,8.3,7,34,55.7,24,6.3,3.8,31.1,1
2021,Cole Kmet,CHI,22,TE,17,17,93,60,0.645,612,10.2,0,29,48.4,25,6.6,3.5,36,0
2021,Chase Claypool,PIT,23,WR,15,13,105,59,0.562,860,14.6,2,35,43.8,59,8.2,3.9,57.3,0
2021,Mecole Hardman,KAN,23,WR,17,8,83,59,0.711,693,11.7,2,33,60.2,53,8.3,3.5,40.8,3
2021,Courtland Sutton,DEN,26,WR,17,16,98,58,0.592,776,13.4,2,35,50,55,7.9,3.4,45.6,0
2021,Brandon Aiyuk,SFO,23,WR,17,16,84,56,0.667,826,14.8,5,37,60.7,43,9.8,3.3,48.6,2
2021,Dallas Goedert,PHI,26,TE,15,14,76,56,0.737,830,14.8,4,42,68.4,45,10.9,3.7,55.3,1
2021,Kendrick Bourne,NWE,26,WR,17,5,70,55,0.786,800,14.5,5,27,65.7,75,11.4,3.2,47.1,1
2021,Rob Gronkowski,TAM,32,TE,12,12,89,55,0.618,802,14.6,6,34,57.3,42,9,4.6,66.8,0
2021,Darren Waller,LVR,29,TE,11,11,93,55,0.591,665,12.1,2,31,49.5,33,7.2,5,60.5,0
2021,A.J. Green,ARI,33,WR,16,9,92,54,0.587,848,15.7,3,37,53.3,42,9.2,3.4,53,0
2021,Josh Jacobs,LVR,23,RB,15,14,64,54,0.844,348,6.4,0,14,51.6,29,5.4,3.6,23.2,2
2021,Rondale Moore,ARI,21,WR,14,7,64,54,0.844,435,8.1,1,18,54.7,77,6.8,3.9,31.1,3
2021,Robbie Chosen,CAR,28,WR,17,16,110,53,0.482,519,9.8,5,27,36.4,57,4.7,3.1,30.5,0
2021,Tim Patrick,DEN,28,WR,16,16,85,53,0.624,734,13.8,5,39,55.3,44,8.6,3.3,45.9,0
2021,Aaron Jones,GNB,27,RB,15,15,65,52,0.8,391,7.5,6,22,50.8,26,6,3.5,26.1,2
2021,Jarvis Landry,CLE,29,WR,12,12,87,52,0.598,570,11,2,30,48.3,38,6.6,4.3,47.5,3
2021,Cordarrelle Patterson,ATL,30,RB,16,13,69,52,0.754,548,10.5,5,26,52.2,64,7.9,3.3,34.3,2
2021,Jamison Crowder,NYJ,28,WR,12,4,71,51,0.718,447,8.8,2,24,54.9,29,6.3,4.3,37.3,1
2021,Hunter Henry,NWE,27,TE,17,10,75,50,0.667,603,12.1,9,34,62.7,35,8,2.9,35.5,0
2021,Van Jefferson,LAR,25,WR,17,17,89,50,0.562,802,16,6,32,52.8,79,9,2.9,47.2,0
2021,K.J. Osborn,MIN,24,WR,17,9,82,50,0.61,655,13.1,7,26,46.3,64,8,2.9,38.5,0
2021,Myles Gaskin,MIA,24,RB,17,10,63,49,0.778,234,4.8,4,13,46,24,3.7,2.9,13.8,2
2021,Dawson Knox,BUF,25,TE,15,14,71,49,0.69,587,12,9,31,59.2,53,8.3,3.3,39.1,0
2021,C.J. Uzomah,CIN,28,TE,16,16,63,49,0.778,493,10.1,5,24,54,55,7.8,3.1,30.8,0
2021,Jared Cook,LAC,34,TE,16,10,83,48,0.578,564,11.8,4,31,50.6,42,6.8,3,35.3,0
2021,Gerald Everett,SEA,27,TE,15,12,63,48,0.762,478,10,4,26,60.3,41,7.6,3.2,31.9,2
2021,Kalif Raymond,DET,27,WR,16,14,71,48,0.676,576,12,4,28,50.7,75,8.1,3,36,0
2021,Ezekiel Elliott,DAL,26,RB,17,17,65,47,0.723,287,6.1,2,17,38.5,21,4.4,2.8,16.9,1
2021,Zay Jones,LVR,26,WR,17,9,70,47,0.671,546,11.6,1,29,55.7,43,7.8,2.8,32.1,1
2021,Alvin Kamara,NOR,26,RB,13,10,67,47,0.701,439,9.3,5,20,43.3,31,6.6,3.6,33.8,0
2021,Darrel Williams,KAN,26,RB,17,7,57,47,0.825,452,9.6,2,19,64.9,38,7.9,2.8,26.6,0
2021,Rashod Bateman,BAL,22,WR,12,4,68,46,0.676,515,11.2,1,29,58.8,36,7.6,3.8,42.9,0
2021,Braxton Berrios,NYJ,26,WR,16,1,65,46,0.708,431,9.4,2,21,50.8,46,6.6,2.9,26.9,1
2021,Marquez Callaway,NOR,23,WR,17,11,84,46,0.548,698,15.2,6,32,46.4,58,8.3,2.7,41.1,0
2021,Evan Engram,NYG,27,TE,15,12,73,46,0.63,408,8.9,3,21,41.1,30,5.6,3.1,27.2,1
2021,Cedrick Wilson Jr.,DAL,26,WR,16,4,61,45,0.738,602,13.4,6,27,60.7,73,9.9,2.8,37.6,3
2021,Robert Woods,LAR,29,WR,9,9,69,45,0.652,556,12.4,4,34,59.4,28,8.1,5,61.8,0
2021,Odell Beckham Jr.,2TM,29,WR,14,13,82,44,0.537,537,12.2,5,27,48.8,54,6.5,3.1,38.4,0
2021,Mike Davis,ATL,28,RB,17,8,58,44,0.759,259,5.9,1,12,39.7,20,4.5,2.6,15.2,4
2021,Chase Edmonds,ARI,25,RB,12,11,53,43,0.811,311,7.2,0,11,35.8,36,5.9,3.6,25.9,1
2021,J.D. McKissic,WAS,28,RB,11,3,53,43,0.811,397,9.2,2,15,52.8,56,7.5,3.9,36.1,0
2021,Elijah Moore,NYJ,21,WR,11,6,77,43,0.558,538,12.5,5,24,45.5,62,7,3.9,48.9,0
2021,Quez Watkins,PHI,23,WR,17,12,62,43,0.694,647,15,1,25,46.8,91,10.4,2.5,38.1,0
2021,Javonte Williams,DEN,21,RB,17,1,53,43,0.811,316,7.3,3,12,37.7,42,6,2.5,18.6,2
2021,Antonio Brown,TAM,33,WR,7,3,62,42,0.677,545,13,4,29,53.2,62,8.8,6,77.9,0
2021,Antonio Gibson,WAS,23,RB,16,14,52,42,0.808,294,7,3,12,50,73,5.7,2.6,18.4,6
2021,DeAndre Hopkins,ARI,29,WR,10,10,64,42,0.656,572,13.6,8,32,59.4,55,8.9,4.2,57.2,0
2021,Joe Mixon,CIN,25,RB,16,16,48,42,0.875,314,7.5,3,11,43.8,52,6.5,2.6,19.6,2
2021,David Montgomery,CHI,24,RB,13,13,51,42,0.824,301,7.2,0,18,43.1,16,5.9,3.2,23.2,1
2021,Byron Pringle,KAN,28,WR,17,5,60,42,0.7,568,13.5,5,32,66.7,40,9.5,2.5,33.4,2
